EventID,Start Date,End Date,Peak Flood Level (m),Peak FL Date,Num Peak FL,Peak Discharge Q (cumec),Peak Discharge Date,Flood Volume (cumec),Event Duration (days),Time to Peak (days),Recession Time (day),Flood Type
INDOFLOODS-gauge-1056-5,24-06-2012,24-06-2012,27.88,24-06-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1056-6,05-07-2012,05-07-2012,67.2,05-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1056-7,10-07-2012,10-07-2012,15.99,10-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1056-8,15-07-2012,15-07-2012,79.54,15-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1056-9,20-07-2012,20-07-2012,13.5,20-07-2012,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1056-10,26-07-2012,26-07-2012,18.22,26-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1056-11,31-07-2012,31-07-2012,15.58,31-07-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1056-12,17-08-2012,17-08-2012,13.43,17-08-2012,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1056-13,04-09-2012,04-09-2012,16.4,04-09-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1056-14,09-09-2012,09-09-2012,45.92,09-09-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1056-15,17-09-2012,17-09-2012,52.48,17-09-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1056-16,03-10-2012,03-10-2012,21.32,03-10-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1056-17,08-10-2012,08-10-2012,22.14,08-10-2012,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1056-18,14-10-2013,16-10-2013,13.6,15-10-2013,1,,,,3,2,2,Flood
INDOFLOODS-gauge-1059-1,07-06-2010,07-06-2010,85.67,07-06-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-2,17-06-2010,17-06-2010,85.81,17-06-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-3,27-06-2010,27-06-2010,85.69,27-06-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-4,07-07-2010,09-07-2010,85.88,07-07-2010,1,,,,3,1,3,Flood
INDOFLOODS-gauge-1059-5,12-07-2010,12-07-2010,85.83,12-07-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-6,19-07-2010,20-07-2010,85.8,20-07-2010,1,,,,2,2,1,Flood
INDOFLOODS-gauge-1059-7,26-07-2010,26-07-2010,85.71,26-07-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-8,13-08-2010,18-08-2010,85.84,15-08-2010,2,,,,6,3,4,Flood
INDOFLOODS-gauge-1059-9,20-08-2010,25-08-2010,85.93,22-08-2010,1,,,,6,3,4,Flood
INDOFLOODS-gauge-1059-10,27-08-2010,29-08-2010,85.71,27-08-2010,1,,,,3,1,3,Flood
INDOFLOODS-gauge-1059-11,10-09-2010,10-09-2010,85.78,10-09-2010,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-12,15-09-2010,17-09-2010,85.69,17-09-2010,1,,,,3,3,1,Flood
INDOFLOODS-gauge-1059-13,24-06-2011,24-06-2011,85.8,24-06-2011,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-14,30-06-2011,11-07-2011,86.18,01-07-2011,1,,,,12,2,11,Severe Flood
INDOFLOODS-gauge-1059-15,14-07-2011,16-07-2011,85.79,15-07-2011,2,,,,3,2,2,Flood
INDOFLOODS-gauge-1059-16,28-07-2011,30-07-2011,85.73,29-07-2011,1,,,,3,2,2,Flood
INDOFLOODS-gauge-1059-17,02-08-2011,02-08-2011,85.72,02-08-2011,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-18,10-08-2011,10-08-2011,85.7,10-08-2011,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-19,14-08-2011,27-08-2011,86.08,23-08-2011,1,,,,14,10,5,Severe Flood
INDOFLOODS-gauge-1059-20,16-09-2011,16-09-2011,85.67,16-09-2011,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-21,18-09-2011,21-09-2011,85.82,21-09-2011,1,,,,4,4,1,Flood
INDOFLOODS-gauge-1059-22,25-09-2011,29-09-2011,85.9,27-09-2011,1,,,,5,3,3,Flood
INDOFLOODS-gauge-1059-23,05-06-2013,05-06-2013,85.71,05-06-2013,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-24,26-06-2013,30-06-2013,85.99,28-06-2013,1,,,,5,3,3,Severe Flood
INDOFLOODS-gauge-1059-25,02-07-2013,02-07-2013,85.75,02-07-2013,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-26,04-07-2013,13-07-2013,86.16,09-07-2013,1,,,,10,6,5,Severe Flood
INDOFLOODS-gauge-1059-27,18-07-2013,19-07-2013,85.78,19-07-2013,1,,,,2,2,1,Flood
INDOFLOODS-gauge-1059-28,21-07-2013,22-07-2013,85.73,22-07-2013,1,,,,2,2,1,Flood
INDOFLOODS-gauge-1059-29,25-07-2013,25-07-2013,85.69,25-07-2013,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-30,27-07-2013,28-07-2013,85.82,28-07-2013,1,,,,2,2,1,Flood
INDOFLOODS-gauge-1059-31,06-08-2013,06-08-2013,85.74,06-08-2013,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-32,10-08-2013,12-08-2013,85.78,10-08-2013,1,,,,3,1,3,Flood
INDOFLOODS-gauge-1059-33,29-08-2013,30-08-2013,85.84,30-08-2013,1,,,,2,2,1,Flood
INDOFLOODS-gauge-1059-34,03-09-2013,03-09-2013,85.74,03-09-2013,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-35,05-09-2013,06-09-2013,85.71,06-09-2013,1,,,,2,2,1,Flood
INDOFLOODS-gauge-1059-36,23-06-2014,25-06-2014,85.87,23-06-2014,1,,,,3,1,3,Flood
INDOFLOODS-gauge-1059-37,01-07-2014,02-07-2014,85.82,01-07-2014,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1059-38,06-07-2014,07-07-2014,85.79,06-07-2014,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1059-39,09-07-2014,10-07-2014,85.91,09-07-2014,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1059-40,14-07-2014,25-07-2014,86.05,22-07-2014,1,,,,12,9,4,Severe Flood
INDOFLOODS-gauge-1059-41,28-07-2014,28-07-2014,85.66,28-07-2014,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-42,31-07-2014,31-07-2014,85.69,31-07-2014,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-43,02-08-2014,02-09-2014,86,15-08-2014,1,,,,32,14,19,Severe Flood
INDOFLOODS-gauge-1059-44,14-09-2014,16-09-2014,85.78,16-09-2014,1,,,,3,3,1,Flood
INDOFLOODS-gauge-1059-45,20-09-2014,24-09-2014,85.8,21-09-2014,1,,,,5,2,4,Flood
INDOFLOODS-gauge-1059-46,27-09-2014,28-09-2014,85.86,27-09-2014,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1059-47,01-06-2015,02-06-2015,85.97,01-06-2015,1,,,,2,1,2,Severe Flood
INDOFLOODS-gauge-1059-48,08-06-2015,08-06-2015,85.74,08-06-2015,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-49,10-06-2015,14-06-2015,86,13-06-2015,1,,,,5,4,2,Severe Flood
INDOFLOODS-gauge-1059-50,18-06-2015,20-06-2015,85.71,18-06-2015,1,,,,3,1,3,Flood
INDOFLOODS-gauge-1059-51,29-06-2015,29-06-2015,85.74,29-06-2015,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-52,01-07-2015,01-07-2015,86.36,01-07-2015,1,,,,1,1,1,Severe Flood
INDOFLOODS-gauge-1059-53,04-07-2015,04-07-2015,85.7,04-07-2015,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-54,10-07-2015,11-07-2015,85.78,10-07-2015,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1059-55,19-08-2015,21-08-2015,85.77,19-08-2015,2,,,,3,1,3,Flood
INDOFLOODS-gauge-1059-56,24-08-2015,25-08-2015,85.8,24-08-2015,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1059-57,27-08-2015,01-09-2015,86.14,01-09-2015,1,,,,6,6,1,Severe Flood
INDOFLOODS-gauge-1059-58,22-06-2016,22-06-2016,85.68,22-06-2016,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-59,06-07-2016,06-07-2016,85.7,06-07-2016,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-60,16-07-2016,17-07-2016,85.76,16-07-2016,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1059-61,19-07-2016,20-07-2016,85.82,20-07-2016,1,,,,2,2,1,Flood
INDOFLOODS-gauge-1059-62,22-07-2016,30-07-2016,86.04,24-07-2016,1,,,,9,3,7,Severe Flood
INDOFLOODS-gauge-1059-63,09-07-2017,09-07-2017,85.7,09-07-2017,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-64,21-07-2017,21-07-2017,85.88,21-07-2017,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-65,12-08-2017,12-08-2017,85.79,12-08-2017,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-66,05-07-2018,05-07-2018,85.76,05-07-2018,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-67,25-08-2018,25-08-2018,85.78,25-08-2018,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-68,28-08-2018,29-08-2018,85.71,29-08-2018,1,,,,2,2,1,Flood
INDOFLOODS-gauge-1059-69,01-09-2018,01-09-2018,85.69,01-09-2018,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-70,09-09-2018,09-09-2018,85.8,09-09-2018,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-71,13-09-2018,13-09-2018,85.83,13-09-2018,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-72,19-06-2020,19-06-2020,85.67,19-06-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-73,26-06-2020,26-06-2020,85.71,26-06-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-74,28-06-2020,28-06-2020,85.73,28-06-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-75,07-07-2020,08-07-2020,85.87,07-07-2020,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1059-76,10-07-2020,14-07-2020,86.14,12-07-2020,1,,,,5,3,3,Severe Flood
INDOFLOODS-gauge-1059-77,18-07-2020,18-07-2020,85.73,18-07-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-78,22-07-2020,22-07-2020,85.94,22-07-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-79,28-07-2020,28-07-2020,85.8,28-07-2020,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1059-80,30-07-2020,01-08-2020,85.73,31-07-2020,1,,,,3,2,2,Flood
